Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
1ST SOURCE CORPORATION,6190412,US/Canada,"1,282","1,294","$432,616",Mid-market,Existing,Yes  Active,S&D - FIN,DEPOSITORY,"State trust companies accepting deposits, commercial",04/01/10,AC-00406957
A.M CASTLE & CO,6102578,US/Canada,"1,600","1,198","$416,979",Enterprise,Existing,,TRANS-DIST,WHLSALE-DURABLE,Metals service centers and offices,08/27/13,AC-00460212
ABC Technologies Inc.,6190601,US/Canada,"2,000","1,408","$992,403",Enterprise,Existing,No,MFG,RUBBER-PLASTICS,"Automotive parts, plastic",10/01/19,AC-00539576
ABILITY BEYOND DISABILITY  INC.,6196675,US/Canada,"1,154","1,356","$315,748",Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Rehabilitation services,04/06/11,AC-00536758
"Acadia Management Company, LLC",6132579,US/Canada,"24,651","34,458","$2,869,044",Upper Enterprise,Existing,Yes  Active,HEALTHCARE,SPECIALTY,"Specialty outpatient clinics, nec",07/19/11,AC-00592788
"ACE PARKING MANAGEMENT, INC",6097072,US/Canada,"4,033","4,563","$1,044,714",Enterprise,Existing,No,S&D,AUTO GARAGES,Parking lots,06/03/09,AC-00378170
"ACRT, INC.",6127242,US/Canada,"1,476",9,"$25,834",Mid-market,Existing,No,S&D,ENG-MGMT SVCS,Environmental consultant,10/18/08,AC-00525373
ACUREN INSPECTION  INC.,6196884,US/Canada,"24,000","4,972","$1,369,042",Upper Enterprise,Existing,No,MFG,OIL-GAS EXTRACT,"Testing, measuring, surveying, and analysis services",07/02/18,AC-00585905
AFL TELECOMMUNICATIONS LLC,6180907,US/Canada,"2,942","2,982","$1,860,992",Enterprise,Existing,,MFG,SPECIAL TRADE,Fiber optic cable installation,10/01/15,AC-00541704
AGA SERVICE COMPANY,6193265,US/Canada,818,800,"$318,551",Mid-market,Existing,,S&D - FIN,HLDG-INVESTMENT,"Investment holding companies, except banks",05/13/15,AC-05747210
"AHF, LLC",6197232,US/Canada,"2,317","2,101","$1,104,088",Enterprise,Existing,,MFG,LUMBER-WOOD,"Flooring, hardwood",02/27/19,AC-03303844
AHMC HEALTHCARE,6196906,US/Canada,"6,200","2,484","$1,272,782",Upper Enterprise,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,11/10/17,AC-00591438
Ahrc New York City,6174411,US/Canada,"4,300",979,"$1,227,339",Upper Enterprise,Existing,,HEALTHCARE,HEALTH SERVICES,Blood related health services,12/21/17,AC-00603498
"AIMBRIDGE PARENT, INC.",6180332,US/Canada,"47,847","34,937","$3,786,537",Upper Enterprise,Existing,Yes  Active,S&D - FIN,INSUR-BROKERS,Pension and retirement plan consultants,03/25/15,AC-03532214
"AJINOMOTO FOODS NORTH AMERICA, INC.",6037324,US/Canada,"3,217","2,771","$1,423,239",Enterprise,Existing,No,MFG,FOOD-KINDRED,"Frozen specialties, nec",01/17/95,AC-00401607
AKEBONO BRAKE CORPORATION,6187126,US/Canada,"1,152",883,"$345,205",Enterprise,Existing,,MFG,AUTOMOTIVE,"Air brakes, motor vehicle",07/23/14,AC-00582855
ALAMOS GOLD INC,6197459,US/Canada,"3,000","1,947","$903,057",Enterprise,Existing,,MFG,METAL MINING,Open pit gold mining,01/02/19,AC-05564385
ALLEGIANT TRAVEL COMPANY,6182818,US/Canada,"6,616","5,301","$1,053,294",Upper Enterprise,Existing,No,S&D,TRANS SERVICES,Travel agencies,07/02/10,AC-00637526
"ALPHA METALLURGICAL SERVICES, LLC",6181060,US/Canada,"4,248","2,925","$623,449",Upper Enterprise,Existing,No,MFG,COAL MINING,Coal mining services,08/19/16,AC-00899331
"Alpha Natural Resources, Inc.",6196426,US/Canada,"5,400",5,$0,Upper Enterprise,Existing,,MFG,COAL MINING,Bituminous coal and lignite-surface mining,05/11/16,AC-00475690
Alsco Inc.,6073397,US/Canada,"14,200","8,597","$1,861,427",Upper Enterprise,Existing,No,S&D,PERSONAL SVCS,Uniform supply,08/27/13,AC-00613140
AMERICAN CHEMICAL SOCIETY,6186152,US/Canada,"1,931","2,877","$934,113",Upper Mid-market,Existing,No,S&D,BUSINESS SVCS,Display advertising service,10/31/17,AC-00518136
AMERICAN COMMERCIAL BARGE LINE LLC,6180718,US/Canada,"2,024","3,930","$808,325",Enterprise,Existing,,TRANS-DIST,WATER TRANS,Canal barge operations,12/31/18,AC-00465444
AMERICAN PSYCHOLOGICAL ASSOCIATION  INC.,6182911,US/Canada,600,593,"$296,902",Mid-market,Existing,No,S&D,MEMBERSHIP ORGS,Scientific membership association,02/10/15,AC-00444924
AMERICAN RENAL ASSOCIATES LLC,6196953,US/Canada,"4,500","4,121","$1,410,826",Enterprise,Existing,Yes  Active,HEALTHCARE,SPECIALTY,Kidney dialysis centers,12/13/19,AC-00604941
AMERICAN RESIDENTIAL SERVICES LLC,6182120,US/Canada,"13,500","8,129","$2,323,018",Enterprise,Existing,No,MFG,SPECIAL TRADE,Plumbing contractors,04/28/16,AC-00574167
AMSTED INDUSTRIES INCORPORATED,6185644,US/Canada,"10,100","5,776","$1,894,609",Upper Enterprise,Existing,Yes  Active,MFG,FABRCTD METALS,"Cooling towers, Metal plate",04/05/11,AC-00510801
"ANSCHUTZ ENTERTAINMENT GROUP, INC.",6195784,US/Canada,"5,432","2,654","$1,207,551",Upper Enterprise,Existing,,HOSPITALITY,AMUSEMENT-REC,Stadium event operator services,11/17/14,AC-05747722
ARCHDIOCESE OF WASHINGTON,6209081,US/Canada,"4,113","2,779","$995,464",Enterprise,Existing,,S&D,MEMBERSHIP ORGS,Catholic Church,09/01/11,AC-05747723
ARROW ELECTRONICS  INC.,6196388,US/Canada,"12,000","3,998","$935,572",Upper Enterprise,Existing,,TRANS-DIST,WHLSALE-DURABLE,"Electronic parts and equipment, nec",02/23/18,AC-00469337
ASBURY AUTOMOTIVE GROUP INC.,6186640,US/Canada,"9,235",842,"($266,225)",Upper Enterprise,Existing,,RETAIL,AUTO DEALR-SVC,"Automobiles, new and used",09/26/08,AC-00519521
"Asbury Automotive Group, Inc.",6195255,US/Canada,"8,000",195,"($130,566)",Upper Enterprise,Existing,,RETAIL,AUTO DEALR-SVC,"Automobiles, new and used",12/30/21,AC-05237512
ASPIRE LIVING & LEARNING INC.,6196243,US/Canada,"1,056",980,"$456,027",Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Social service center,10/10/07,AC-00428535
Associated Catholic Charities Inc.,6186268,US/Canada,"1,798","1,659","$365,531",Enterprise,Existing,Yes  Active,GOVT-EDUC,SOCIAL SERVICES,Social service center,10/10/07,AC-00495615
"Audacy Operations, LLC",6197045,US/Canada,"5,000","3,998","$662,723",Enterprise,Existing,,S&D,COMMUNICATION,Radio broadcasting stations,10/10/07,AC-00631293
AUGUSTA HEALTH CARE  INC.,6196463,US/Canada,"2,722","3,043","$801,722",Enterprise,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,12/28/11,AC-00485769
"AVALON HEALTH CARE MANAGEMENT, INC",6122319,US/Canada,"7,000",,"$3,137",Upper Enterprise,Existing,No,HEALTHCARE,LONG TERM CARE,Skilled nursing care facilities,12/30/11,AC-00790572
AVISTA CORPORATION,6186999,US/Canada,"3,800","2,177","$615,966",Enterprise,Existing,No,MFG,ELEC-GAS-SANI,"Distribution, electric power",10/10/07,AC-00487959
AZGA SERVICE CANADA INC.,6197533,US/Canada,"1,240",635,"$185,242",Mid-market,Existing,,S&D - FIN,INSUR-BROKERS,"Insurance agents, brokers, and service",07/01/15,AC-05957646
"BAKER, DONELSON, BEARMAN, CALDWELL & BERKOWITZ, P.C.",6186612,US/Canada,"1,302","1,168","$348,155",Mid-market,Existing,,S&D,LEGAL SERVICES,"General practice attorney, lawyer",05/06/08,AC-00644419
BALLY'S CORPORATION,6182781,US/Canada,"8,468","15,877","$2,619,822",Upper Enterprise,Existing,No,HOSPITALITY,LODGING,Casino hotel,08/27/20,AC-00466350
BATH FITTER DISTRIBUTING INC.,6186466,US/Canada,"2,000",900,"$190,028",Upper Mid-market,Existing,,RETAIL,BUILDING-GARDEN,"Bathroom fixtures, equipment and supplies",12/30/17,AC-00554738
Bausch & Lomb Americas Inc.,6197838,US/Canada,"9,172","4,526","$2,098,849",Enterprise,Existing,No,MFG,CHEMICAL-ALLIED,Pharmaceutical preparations,04/09/21,AC-00545840
"Bausch Health US, LLC",6197126,US/Canada,"1,831","1,746","$691,990",Enterprise,Existing,,MFG,INSTR RLTD PDTS,Ophthalmic goods,02/01/19,AC-00649347
BECKER & POLIAKOFF  P.A.,6197101,US/Canada,350,364,"$125,461",Emerging,Existing,,S&D,LEGAL SERVICES,Legal services,11/27/07,AC-00642152
"BERKELEY EDUCATIONAL SERVICES OF NEW JERSEY, INC.",6195762,US/Canada,795,740,"$166,503",Upper Mid-market,Existing,Yes  Active,PUBLIC SECTOR - HE,HIGHER EDUC,Colleges and universities,09/18/09,AC-05747543
BERLITZ LANGUAGES  INC.,6181193,US/Canada,900,474,"$277,443",Enterprise,Existing,,MFG,PRINT-PUBLISH,"Books, publishing only",12/07/10,AC-00574005
BL HARBERT,6119563,US/Canada,"1,200",670,"$439,124",Upper Mid-market,Existing,No,MFG,GEN BLDG CONTRS,"Commercial and office building, new construction",01/21/15,AC-00508267
BLAKES SERVICES INC,6182718,US/Canada,"2,520","1,147","$354,720",Enterprise,Existing,,S&D,ENG-MGMT SVCS,Management services,07/02/12,AC-04652471
"Blink Holdings, Inc.",6197427,US/Canada,"2,401",5,$0,Upper Enterprise,Existing,,HOSPITALITY,AMUSEMENT-REC,Physical fitness clubs with training equipment,09/15/17,AC-05188134
Blue Bird Body Company,6197305,US/Canada,"1,939","2,367","$558,011",Enterprise,Existing,,MFG,AUTOMOTIVE,Truck and bus bodies,06/20/11,AC-03862150
"BOKF, NA",6196513,US/Canada,"5,118","5,112","$333,305",Enterprise,Existing,,S&D - FIN,SEC-COM BROKERS,Stock brokers and dealers,02/20/08,AC-00500274
BOZZUTO & ASSOCIATES  INC.,6184484,US/Canada,"4,220","5,007","$1,342,701",Enterprise,Existing,,MFG,GEN BLDG CONTRS,Condominium construction,12/04/19,AC-00479091
BRADLEY AIR SERVICES LIMITED,6190626,US/Canada,"1,590","1,198","$374,922",Enterprise,Existing,No,TRANS-DIST,AIR TRANS,Flying charter service,06/09/11,AC-00536784
"BRAND INDUSTRIAL SERVICES, INC. DBA BRANDSAFWAY",6164755,US/Canada,"6,000","6,267","$1,100,176",Enterprise,Existing,,MFG,SPECIAL TRADE,Scaffolding,10/11/17,AC-00461554
BRITISH COLUMBIA SAFETY AUTHORITY,6195930,US/Canada,460,459,"$136,187",Mid-market,Existing,Yes  Active,PUBLIC SECTOR,PUBLIC SECTOR,"Inspection for labor standards and safety, government",12/30/13,AC-05751620
BUILD-A-BEAR WORKSHOP  INC.,6194714,US/Canada,"7,000","6,208","$733,630",Enterprise,Existing,No,RETAIL,OTHER SPECIALTY,"Hobby, toy, and game shops",10/01/18,AC-00613072
C.P.G. INTERNATIONAL  INC.,6186450,US/Canada,"2,257","3,453","$1,116,836",Upper Mid-market,Existing,Yes  Active,MFG,RUBBER-PLASTICS,Plastics hardware and building products,09/01/17,AC-00422472
CALPINE CORPORATION,6189978,US/Canada,"2,435","2,624","$615,770",Enterprise,Existing,,MFG,ELEC-GAS-SANI,"Generation, electric power",01/04/11,AC-00469240
"Camden Development, Inc.",6196677,US/Canada,"2,500",7,"$61,087",Upper Mid-market,Existing,,S&D - FIN,INSUR-BROKERS,Real estate managers,10/10/07,AC-00536783
CANADA CARTAGE SYSTEM  LIMITED PARTNERSHIP,6180717,US/Canada,"4,088","3,781","$568,961",Enterprise,Existing,,TRANS-DIST,TRANS SERVICES,Transportation agents and brokers,11/19/18,AC-04549317
Capital Metropolitan Transportation Authority,6041768,US/Canada,"1,247",9,"$59,793",Mid-market,Existing,,TRANS-DIST,LOCAL PASSENGER,Bus line operations,10/10/07,AC-00408602
Cascades Canada ULC,6197008,US/Canada,"14,400","6,562","$1,499,091",Enterprise,Existing,,MFG,PAPER-ALLIED,Boxboard,12/23/16,AC-00618560
"Catapult Learning, LLC",6197554,US/Canada,"10,189","8,721","$1,560,690",Enterprise,Existing,,PUBLIC SECTOR - K12,K-12,Tutoring school,12/08/17,AC-05960710
Cavalier Enterprises Ltd,6197362,US/Canada,424,318,"$66,790",Mid-market,Existing,,HOSPITALITY,LODGING,Hotels,12/16/14,AC-04578547
CBI Home Health,6216361,US/Canada,"8,500","4,158","$387,024",Enterprise,New Site,No,HEALTHCARE,HEALTH SERVICES,Physiotherapist,07/24/25,AC-06085230
CBI Limited,6196139,US/Canada,"10,512","7,244","$899,432",Enterprise,Existing,,HEALTHCARE,HEALTH SERVICES,Physiotherapist,09/11/15,AC-00399837
CENTRIC HEALTH CORPORATION,6178656,US/Canada,"1,589","1,667","$340,058",Upper Mid-market,Existing,,S&D,ENG-MGMT SVCS,Hospital and health services consultant,12/19/16,AC-00438264
CHEESECAKE FACTORY,6000503,US/Canada,"64,000","29,117","$3,821,346",Upper Enterprise,Existing,Yes  Active,HOSPITALITY,EATING-DRINKING,American restaurant,09/26/02,AC-00438769
CHRISTIAN DIOR PERFUMES LLC,6196560,US/Canada,"11,226","5,974","$2,289,819",Upper Enterprise,Existing,,MFG,CHEMICAL-ALLIED,Perfumes and colognes,10/10/07,AC-00511758
"CITIZENS BANK, N.A",6147547,US/Canada,"18,000","16,687","$1,687,429",Upper Enterprise,Existing,,S&D - FIN,DEPOSITORY,State commercial banks,03/24/17,AC-00398544
City of Ann Arbor,6192146,US/Canada,"1,038","1,128","$294,177",Mid-market,Existing,,PUBLIC SECTOR,STATE & LOCAL,City and town managers' office,10/10/07,AC-00462473
CITY OF DETROIT,6047848,US/Canada,"10,505","9,258","$2,944,724",Upper Enterprise,Existing,Yes  Active,PUBLIC SECTOR,STATE & LOCAL,Mayors' office,12/15/14,AC-00533216
Clearpoint Health Network Inc,6193297,US/Canada,800,946,"$178,588",Mid-market,Existing,,HEALTHCARE,NON-ACUTE,Surgeon,01/03/20,AC-05761089
CLOROX SERVICES COMPANY,6197113,US/Canada,"5,772","4,363","$852,176",Enterprise,Existing,,MFG,CHEMICAL-ALLIED,Polishes and sanitation goods,03/06/19,AC-00644985
Coastal Community Credit Union,6186581,US/Canada,655,650,"$139,319",Mid-market,Existing,,S&D - FIN,DEPOSITORY,Federal credit unions,12/30/11,AC-04596600
CONFIE SEGUROS HOLDING CO.,6148662,US/Canada,"4,500","5,647","$1,217,761",Enterprise,Existing,,S&D - FIN,INSUR-BROKERS,"Insurance agents, nec",10/18/13,AC-00365569
"Consumer Reports, Inc.",6155929,US/Canada,585,578,"$224,409",Mid-market,Existing,,MFG,PRINT-PUBLISH,Miscellaneous publishing,09/30/19,AC-00621153
CO-OPERATORS FINANCIAL SERVICES LIMITED,6185074,US/Canada,"14,800","7,305","$980,577",Enterprise,Existing,,S&D - FIN,INSUR CARRIERS,Automobile insurance,12/28/11,AC-00583199
"Core-Mark International, Inc.",6194679,US/Canada,"8,658",64,"$129,175",Upper Enterprise,Existing,,TRANS-DIST,WHLSALE-NONDUR,"Groceries, general line",10/15/15,AC-00580589
"COVENANT MANAGEMENT SYSTEMS, LP",6044630,US/Canada,"2,045","2,684","$401,462",Enterprise,Existing,No,HEALTHCARE,HEALTH SERVICES,"Clinic, operated by physicians",07/26/03,AC-00488949
COVIA HOLDINGS LLC,6148655,US/Canada,"2,700","1,322","$723,475",Enterprise,Existing,,MFG,NONMETAL MINRLS,Silica mining,04/01/19,AC-00514902
Crawford & Company (Canada) Inc,6196519,US/Canada,"1,300",7,"$32,279",Mid-market,Existing,,S&D - FIN,INSUR-BROKERS,Insurance adjusters,12/30/10,AC-00502988
Crowell & Moring LLP,6184776,US/Canada,"1,248","1,076","$511,052",Mid-market,Existing,Yes  Active,S&D,LEGAL SERVICES,"Corporate, partnership and business law",01/01/09,AC-00565195
CULINARY INSTITUTE OF AMERICA,6077127,US/Canada,846,"1,206","$242,009",Mid-market,Existing,,PUBLIC SECTOR - HE,HIGHER EDUC,Colleges and universities,09/30/11,AC-00644298
CULLIGAN INTERNATIONAL COMPANY,6194304,US/Canada,"5,600","4,329","$2,544,152",Enterprise,Existing,No,MFG,INDL MACHINERY,Sewage and water treatment equipment,10/10/07,AC-00505144
"Dacotah Banks, Inc.",6196549,US/Canada,662,769,"$269,356",Mid-market,Existing,No,S&D - FIN,DEPOSITORY,State commercial banks,10/10/07,AC-00509151
DANFOSS POWER SOLUTIONS (US) COMPANY,6188239,US/Canada,"11,400","4,387","$1,807,884",Enterprise,Existing,,MFG,INDL MACHINERY,Fluid power pumps and motors,12/01/16,AC-00548197
DAYTON PROGRESS CORPORATION,6192079,US/Canada,675,250,"$168,282",Upper Mid-market,Existing,,MFG,INDL MACHINERY,"Punches, forming and stamping",04/03/08,AC-00575742
DEBORAH HEART AND LUNG CENTER,6038962,US/Canada,"1,119","1,074","$313,812",Mid-market,Existing,,HEALTHCARE,HEALTH SERVICES,Cardiologist and cardio-vascular specialist,10/15/12,AC-00606229
Del Monte Hotel Management LLC,6195747,US/Canada,927,825,"$123,224",Mid-market,Existing,,S&D,ENG-MGMT SVCS,Hotel or motel management,10/10/07,AC-05747370
DIDI HIRSCH PSYCHIATRIC SERVICE,6188996,US/Canada,734,"1,051","$378,437",Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Family counseling services,04/01/08,AC-00639987
DIRTT ENVIRONMENTAL SOLUTIONS LTD,6182633,US/Canada,"1,800",998,"$206,555",Upper Mid-market,Existing,,MFG,FURNITURE-FIXT,"Panel systems and partitions, office: except wood",09/15/15,AC-00611747
DOLBY LABORATORIES  INC.,6197074,US/Canada,"2,500",938,"$315,789",Upper Mid-market,Existing,,MFG,ELECTRONIC EQPT,Audio electronic systems,12/18/19,AC-00637971
DORSEY & WHITNEY LLP,6196414,US/Canada,"1,400","1,140","$369,614",Upper Mid-market,Existing,,S&D,LEGAL SERVICES,"General practice attorney, lawyer",02/27/15,AC-00473402
"DRISCOLL'S, INC.",6196741,US/Canada,"6,260","1,074","$863,236",Enterprise,Existing,,TRANS-DIST,WHLSALE-NONDUR,"Fruits, fresh",12/22/17,AC-00551289
DUMAS CONTRACTING LTD,6183968,US/Canada,801,369,"$213,662",Mid-market,Existing,,MFG,METAL MINING,"Mine development, Metal",12/19/19,AC-00468046
"DYCOM INDUSTRIES, INC",6090131,US/Canada,"18,000","15,502","$2,051,983",Upper Enterprise,Existing,No,MFG,SPECIAL TRADE,Communications specialization,09/30/08,AC-00524300
EACOM TIMBER CORPORATION,6196478,US/Canada,942,594,"$168,208",Enterprise,Existing,Yes  Active,MFG,LUMBER-WOOD,"Lumber, hardwood dimension",04/03/15,AC-00489481
"Eat'n Park Hospitality Group, Inc.",6196429,US/Canada,"9,034","5,395","$836,010",Enterprise,Existing,,S&D,ENG-MGMT SVCS,Restaurant management,10/10/07,AC-00475819
ELIOT COMMUNITY HUMAN SERVICES  INC.,6186615,US/Canada,"1,944","3,869","$699,094",Upper Mid-market,Existing,No,GOVT-EDUC,SOCIAL SERVICES,Mentally handicapped home,07/03/09,AC-00497885
ELLISDON CORPORATION,6155188,US/Canada,618,"4,721","$380,979",Enterprise,Existing,No,MFG,GEN BLDG CONTRS,Commercial and office building contractors,06/28/06,AC-00655213
"Ellwood Group, Inc.",6196708,US/Canada,"3,600","1,933","$631,327",Enterprise,Existing,,MFG,INDUSTRIAL,Iron and steel forgings,06/17/14,AC-00544791
"Employbridge, LLC",6196271,US/Canada,"5,200","2,380","$699,297",Upper Enterprise,Existing,,S&D,BUSINESS SVCS,Employment agencies,06/30/18,AC-00436720
Encore Group (usa) LLC,6197197,US/Canada,"13,367","13,067","$2,510,085",Upper Enterprise,Existing,Yes  Active,S&D,PROFESSIONAL SERVICES,Software programming applications,10/06/09,AC-00941135
Entravision Communications Corporation,6183984,US/Canada,685,757,"$379,623",Mid-market,Existing,,S&D,COMMUNICATION,Television broadcasting stations,10/10/07,AC-00526541
"Equinox Holdings, Inc.",6192788,US/Canada,"26,400","19,048","$2,047,936",Upper Enterprise,Existing,,HOSPITALITY,AMUSEMENT-REC,Health club,04/01/13,AC-00591788
ERNEST HEALTH INC,6095154,US/Canada,"6,218","4,732","$1,197,218",Enterprise,Existing,No,HEALTHCARE,HOSPITALS,"Specialty hospitals, except psychiatric",08/19/06,AC-00421444
ESSENDANT MANAGEMENT SERVICES LLC,6197336,US/Canada,"2,747","2,949","$716,706",Upper Enterprise,Existing,,RETAIL,OTHER SPECIALTY,Office forms and supplies,05/06/10,AC-04283006
